Date/Time,TEST_OFFICE_0:Zone Lights Electricity Energy [J](Hourly),TEST_OFFICE_0:Zone Electric Equipment Electricity Energy [J](Hourly),FAN COIL WITH CONST FAN VAR FLUID FLOW - FAN:Fan Electricity Energy [J](Hourly),FAN VARIABLE VOLUME 1:Fan Electricity Energy [J](Hourly),CHILLER ELECTRIC EIR 1:Chiller Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 2:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 3:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 1:Pump Electricity Energy [J](Hourly) 
 01/01  22:00:00,1464436.5388023537,1575378.7008328347,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,22703.358080923615 
 01/01  23:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730193,0.0,0.0,0.0,1455.1414290341595 
 01/01  24:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,5589.037434804801 
 01/02  01:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,7410.725159948589 
 01/02  02:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,8883.435206128017 
 01/02  03:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,10157.573520658056 
 01/02  04:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,11370.331969964873 
 01/02  05:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,12571.244543296067 
 01/02  06:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,13450.764832505965 
 01/02  07:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730193,0.0,0.0,0.0,49442.72283304695 
 01/02  08:00:00,1464436.5388023537,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,39808.613695484906 
 01/02  09:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,20038.434089843817 
 01/02  10:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,15084.688004781716 
 01/02  11:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,10929.145318775643 
 01/02  12:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,8858.368842222484 
 01/02  13:00:00,4393309.616407061,2520605.921332536,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,5408.175401861343 
 01/02  14:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,381.871501999038 
 01/02  15:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,0.0 
 01/02  16:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,0.0 
 01/02  17:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,0.0 
 01/02  18:00:00,3417018.5905388244,2520605.921332536,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,1917.2242602589215 
 01/02  19:00:00,2440727.5646705893,1890454.440999402,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,7897.037222368625 
 01/02  20:00:00,2440727.5646705893,1890454.440999402,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,10290.678325642879 
 01/02  21:00:00,1464436.5388023537,1575378.7008328347,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,14552.853874213055 
 01/02  22:00:00,1464436.5388023537,1575378.7008328347,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,16349.655450516766 
 01/02  23:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730193,0.0,0.0,0.0,0.0 
 01/02  24:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,850.8047139816842 
 01/03  01:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,3104.3038484007807 
 01/03  02:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,4753.686250445015 
 01/03  03:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,6217.489405941861 
 01/03  04:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,7647.046939266351 
 01/03  05:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,9029.754033341029 
 01/03  06:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,9864.449027445939 
 01/03  07:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730193,0.0,0.0,0.0,43924.339576398925 
 01/03  08:00:00,1464436.5388023537,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,34377.98544575808 
 01/03  09:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,19563.958076218736 
 01/03  10:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,11594.515571963664 
 01/03  11:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,9293.346182695941 
 01/03  12:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,3987.9331974347815 
 01/03  13:00:00,4393309.616407061,2520605.921332536,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,4485.004657383304 
 01/03  14:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,2839.914329888809 
 01/03  15:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,176.41197498819332 
 01/03  16:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,2332.9575243241347 
 01/03  17:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,5351.157237798051 
 01/03  18:00:00,3417018.5905388244,2520605.921332536,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,10687.017161682104 
 01/03  19:00:00,2440727.5646705893,1890454.440999402,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,16224.761908376917 
 01/03  20:00:00,2440727.5646705893,1890454.440999402,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,18506.778202155758 
 01/03  21:00:00,1464436.5388023537,1575378.7008328347,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,23136.33442945812 
 01/03  22:00:00,1464436.5388023537,1575378.7008328347,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,24654.318875841196 
 01/03  23:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730193,0.0,0.0,0.0,2322.6238616730775 
 01/03  24:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,7059.855146051683 
 01/04  01:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,9053.339197363119 
 01/04  02:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,10569.08003819759 
 01/04  03:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,11826.06525432911 
 01/04  04:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,12840.605702984867 
 01/04  05:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,13734.519452876517 
 01/04  06:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,14186.772862866666 
 01/04  07:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730193,0.0,0.0,0.0,50163.76768763867 
 01/04  08:00:00,1464436.5388023537,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,40602.1173322399 
 01/04  09:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,20342.429627702273 
 01/04  10:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,16073.827629361202 
 01/04  11:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,10098.148330238984 
 01/04  12:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,7806.518084467633 
 01/04  13:00:00,4393309.616407061,2520605.921332536,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,4552.405216212259 
 01/04  14:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,248.25090549871732 
