Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/03  07:00:00,190589764.72691762,190589764.72691792 
 01/03  08:00:00,192856379.23558947,191829375.3341964 
 01/03  09:00:00,190965239.15211296,183790153.84115815 
 01/03  10:00:00,172959175.71224016,153587491.4129697 
 01/03  11:00:00,164397785.78484577,144108579.54198077 
 01/03  12:00:00,162988968.38285378,128112719.49426046 
 01/03  13:00:00,158738646.5960078,137735505.20624197 
 01/03  14:00:00,155153046.5185158,134284013.4448756 
 01/03  15:00:00,152718777.57651007,126663156.95697212 
 01/03  16:00:00,162207840.04134253,152131639.0685344 
 01/03  17:00:00,199811065.29439,196567913.83998552 
 01/03  18:00:00,260266159.115162,260266159.11516196 
 01/03  19:00:00,264127438.17200658,264127438.17200652 
 01/03  20:00:00,253123325.67942023,253123325.6794203 
 01/03  21:00:00,245175616.47083515,245175616.47083545 
 01/03  22:00:00,230058398.3083238,230058398.30832407 
 01/03  23:00:00,202034483.31089586,202034483.31089613 
 01/03  24:00:00,179990450.53487587,179990450.53487617 
 01/04  01:00:00,162350361.75666368,162350361.7566638 
 01/04  02:00:00,160167929.83010867,160167929.8301088 
 01/04  03:00:00,157744513.1005439,157744513.10054392 
 01/04  04:00:00,157341676.87619507,157341676.87619504 
 01/04  05:00:00,160873844.73912278,160873844.7391228 
 01/04  06:00:00,174259642.6227149,174259642.62271503 
 01/04  07:00:00,192724790.8826488,192724790.8826491 
 01/04  08:00:00,191913334.8034304,191167147.58186114 
 01/04  09:00:00,190575477.89622164,183460705.59548974 
 01/04  10:00:00,177658432.41575187,165002855.29091242 
 01/04  11:00:00,167800556.65270457,142571751.67239612 
 01/04  12:00:00,166539234.4974328,143721842.57549065 
 01/04  13:00:00,160217947.95825493,127428408.95397416 
 01/04  14:00:00,155444314.01366657,125450479.49602732 
 01/04  15:00:00,153219654.3152655,130844043.94646172 
 01/04  16:00:00,160302130.85690314,149332498.0950836 
 01/04  17:00:00,193519647.6171589,192192222.45907438 
 01/04  18:00:00,268815010.3011876,268815010.3011875 
 01/04  19:00:00,264230401.86236367,264230401.86236358 
 01/04  20:00:00,245879298.8916123,245879298.89161232 
 01/04  21:00:00,237447844.20899314,237447844.20899343 
 01/04  22:00:00,222759870.5396364,222759870.5396367 
 01/04  23:00:00,194123607.89127278,194123607.89127305 
 01/04  24:00:00,169284602.4099261,169284602.40992638 
 01/05  01:00:00,150403992.80151236,150403992.80151248 
 01/05  02:00:00,146044448.2776094,146044448.27760947 
 01/05  03:00:00,147454398.18714443,147454398.1871444 
