Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 02/19  11:00:00,167155870.46341625,126508767.78205034 
 02/19  12:00:00,178233561.37775528,139263089.0985285 
 02/19  13:00:00,187309124.6919495,150014337.96669102 
 02/19  14:00:00,171586762.88905963,148061294.81248724 
 02/19  15:00:00,163051345.45125687,141437930.70501795 
 02/19  16:00:00,177189399.1567847,154608270.2118128 
 02/19  17:00:00,202556124.70879662,194775399.10276502 
 02/19  18:00:00,249764188.70145303,248358501.28931534 
 02/19  19:00:00,258371673.90513074,258371673.90513074 
 02/19  20:00:00,241715843.18943253,241715843.18943265 
 02/19  21:00:00,233697965.60812348,233697965.60812372 
 02/19  22:00:00,219099428.51641577,219099428.5164161 
 02/19  23:00:00,189354849.08887672,189354849.08887702 
 02/19  24:00:00,164605653.49690065,164605653.49690098 
 02/20  01:00:00,145012809.02943683,145012809.02943698 
 02/20  02:00:00,139843591.0973156,139843591.09731558 
 02/20  03:00:00,139637018.95688707,139637018.95688704 
 02/20  04:00:00,140992996.68238947,140992996.6823894 
 02/20  05:00:00,143413803.2950815,143413803.29508147 
 02/20  06:00:00,156289761.21484184,156289761.21484196 
 02/20  07:00:00,168662653.8907785,168474841.9260171 
 02/20  08:00:00,175145766.0615632,170932019.1394323 
 02/20  09:00:00,173955167.85537452,160941524.18108934 
 02/20  10:00:00,168045516.70328188,151429601.0592541 
 02/20  11:00:00,159670353.62703857,136015175.23076096 
 02/20  12:00:00,167396241.57657325,127487213.52150923 
 02/20  13:00:00,188770544.9693621,142508734.4499392 
 02/20  14:00:00,174399938.50255916,131534581.2771534 
 02/20  15:00:00,141313328.50353816,108914001.05374002 
 02/20  16:00:00,147453219.53724298,132948645.69820124 
 02/20  17:00:00,178012942.84673083,170762595.4393457 
 02/20  18:00:00,227429413.13186294,226234611.34108514 
 02/20  19:00:00,244373537.05266032,244373537.0526603 
 02/20  20:00:00,234619505.1240816,234619505.12408167 
 02/20  21:00:00,235503960.15885177,235503960.15885207 
 02/20  22:00:00,219892759.18224704,219892759.18224734 
 02/20  23:00:00,187560718.77991545,187560718.77991578 
 02/20  24:00:00,161241995.47399718,161241995.47399744 
 02/21  01:00:00,141536771.0273364,141536771.02733654 
 02/21  02:00:00,138038340.13930494,138038340.1393049 
 02/21  03:00:00,135504007.59636447,135504007.59636444 
 02/21  04:00:00,134846660.5587117,134846660.55871168 
 02/21  05:00:00,139132174.49807462,139132174.4980746 
 02/21  06:00:00,153703332.3876373,153703332.38763744 
 02/21  07:00:00,167088489.8089702,167049873.13800946 
 02/21  08:00:00,174904812.9183489,171514846.62421164 
 02/21  09:00:00,175094251.0078355,158207061.63573432 
 02/21  10:00:00,167784670.71055937,139875302.48313618 
 02/21  11:00:00,161731468.5889382,134456171.34729084 
 02/21  12:00:00,162337726.70461792,122109133.87790814 
 02/21  13:00:00,158563499.1482889,116945194.25439127 
 02/21  14:00:00,156215086.08970144,118999069.10021979 
 02/21  15:00:00,153787738.3473817,126851943.14168267 
 02/21  16:00:00,160999667.8607645,140220046.40450943 
 02/21  17:00:00,190441632.85110897,182494124.12121415 
 02/21  18:00:00,269023679.13751894,268496138.7255306 
 02/21  19:00:00,269132723.3349527,269132723.3349526 
 02/21  20:00:00,248705313.56359994,248705313.56360003 
 02/21  21:00:00,240499976.2333598,240499976.2333601 
 02/21  22:00:00,225082574.3176993,225082574.31769964 
 02/21  23:00:00,194405424.6621957,194405424.66219607 
 02/21  24:00:00,170230014.27839363,170230014.2783939 
 02/22  01:00:00,151485868.74347904,151485868.74347916 
 02/22  02:00:00,149776884.7594501,149776884.7594502 
 02/22  03:00:00,148637472.2390317,148637472.2390316 
 02/22  04:00:00,148427610.21123254,148427610.2112325 
 02/22  05:00:00,151972276.60713765,151972276.60713762 
 02/22  06:00:00,165971945.16094485,165971945.16094497 
 02/22  07:00:00,177834139.62463418,177602258.08460027 
 02/22  08:00:00,182536355.78037673,176664150.7587232 
 02/22  09:00:00,178696101.4052017,156415371.22087368 
 02/22  10:00:00,170443985.15274668,144570380.6672157 
 02/22  11:00:00,163831691.66301218,139972902.16448498 
 02/22  12:00:00,163877828.97410738,137522786.16802114 
 02/22  13:00:00,159265616.82476306,128496869.87013775 
 02/22  14:00:00,155354668.35338783,115720107.62818676 
 02/22  15:00:00,152148849.45125932,129791103.55122408 
 02/22  16:00:00,159856176.5734513,143569846.08538124 
 02/22  17:00:00,190180619.5404624,179541014.1836513 
 02/22  18:00:00,244647218.5155783,243041150.2929475 
 02/22  19:00:00,260173839.5964895,260173839.59648943 
 02/22  20:00:00,244008892.05305117,244008892.05305126 
 02/22  21:00:00,235732827.3603447,235732827.36034504 
 02/22  22:00:00,222920312.45197514,222920312.45197544 
 02/22  23:00:00,195766827.77933666,195766827.779337 
 02/22  24:00:00,171779547.0263262,171779547.02632648 
 02/23  01:00:00,153004203.43304014,153004203.4330403 
 02/23  02:00:00,148952497.63021296,148952497.63021305 
 02/23  03:00:00,146167824.8989342,146167824.89893413 
 02/23  04:00:00,144917888.61684108,144917888.61684105 
 02/23  05:00:00,148581833.19365123,148581833.1936512 
 02/23  06:00:00,161550898.12499645,161550898.1249966 
 02/23  07:00:00,172457460.7088085,171329975.32878512 
 02/23  08:00:00,176544109.99226022,167791671.79070053 
 02/23  09:00:00,176655934.1937566,163376317.5859744 
 02/23  10:00:00,165056910.59440854,130499943.7657101 
 02/23  11:00:00,160910271.54592752,141317402.16075617 
 02/23  12:00:00,162245448.356,142681566.24602163 
 02/23  13:00:00,158800463.4948646,138595537.30415726 
 02/23  14:00:00,155215763.2861125,136438586.6198276 
 02/23  15:00:00,152423016.55538082,136776653.86975402 
 02/23  16:00:00,159968095.50204408,148822758.66116515 
 02/23  17:00:00,190492890.64576635,183785659.49871215 
 02/23  18:00:00,236622562.18337414,233342292.259785 
 02/23  19:00:00,253745507.84775054,253745507.8477505 
 02/23  20:00:00,240333359.07137853,240333359.0713786 
 02/23  21:00:00,233789932.9834399,233789932.98344016 
 02/23  22:00:00,219186034.11183527,219186034.11183554 
 02/23  23:00:00,189916331.6216342,189916331.6216345 
 02/23  24:00:00,163807833.2412137,163807833.24121398 
 02/24  01:00:00,142784289.9422176,142784289.94221768 
 02/24  02:00:00,137331088.81383568,137331088.81383565 
 02/24  03:00:00,133607108.23664889,133607108.23664889 
 02/24  04:00:00,131836908.99124292,131836908.99124287 
 02/24  05:00:00,133361211.27938607,133361211.27938604 
 02/24  06:00:00,146333673.84864542,146333673.84864554 
 02/24  07:00:00,160682321.44748622,160211295.37260386 
 02/24  08:00:00,169324627.84205925,164582716.3465055 
 02/24  09:00:00,171835537.10478708,164096629.67579207 
 02/24  10:00:00,165370071.51436386,153374106.39586937 
 02/24  11:00:00,160150795.26854447,140335067.75763202 
 02/24  12:00:00,161236921.60419312,120911983.13356514 
 02/24  13:00:00,151321664.3884222,111589203.3623755 
 02/24  14:00:00,145622709.6503315,126115218.88724008 
 02/24  15:00:00,144648064.83993375,126825307.7849448 
 02/24  16:00:00,150061278.59462768,127263837.1393255 
 02/24  17:00:00,180627094.02761248,173845812.14130178 
 02/24  18:00:00,227675096.83882302,225954455.50828058 
 02/24  19:00:00,244373537.05266032,244373537.0526603 
 02/24  20:00:00,230213178.2761197,230213178.27611974 
 02/24  21:00:00,235107439.75539026,235107439.7553905 
 02/24  22:00:00,224262690.98625252,224262690.98625278 
 02/24  23:00:00,190199015.09979308,190199015.09979343 
 02/24  24:00:00,160515490.16778746,160515490.16778776 
 02/25  01:00:00,136469388.7391526,136469388.73915276 
 02/25  02:00:00,129758127.69237593,129758127.69237588 
 02/25  03:00:00,126357103.06676814,126357103.06676811 
 02/25  04:00:00,124650392.07631075,124650392.07631071 
 02/25  05:00:00,126060999.43486384,126060999.4348638 
 02/25  06:00:00,139745951.46622854,139745951.4662287 
 02/25  07:00:00,157129414.05980998,156499060.39965662 
 02/25  08:00:00,171416525.77656186,165761264.48229864 
 02/25  09:00:00,162662480.42758724,154744509.93236881 
 02/25  10:00:00,152387117.45746666,136077264.49574655 
 02/25  11:00:00,148125644.37791306,112421270.3747173 
 02/25  12:00:00,149830066.1919056,129523960.9420777 
 02/25  13:00:00,148125644.37791306,123746294.43711299 
 02/25  14:00:00,143015610.08117756,101397511.28016356 
 02/25  15:00:00,141313328.50353816,124200758.4071071 
 02/25  16:00:00,147453219.53724298,136980050.12058577 
 02/25  17:00:00,197375582.99610627,191477712.92535472 
 02/25  18:00:00,256947810.72116697,255478763.78956297 
 02/25  19:00:00,264867240.90789753,264867240.90789747 
 02/25  20:00:00,245523402.59434354,245523402.5943436 
 02/25  21:00:00,237272724.2918887,237272724.291889 
 02/25  22:00:00,221929009.41203323,221929009.41203356 
 02/25  23:00:00,188979670.86684707,188979670.8668474 
 02/25  24:00:00,159489741.3530378,159489741.35303807 
 02/26  01:00:00,137209392.75741792,137209392.75741804 
 02/26  02:00:00,131419041.85126755,131419041.85126749 
 02/26  03:00:00,129520608.53859438,129520608.53859435 
 02/26  04:00:00,129458484.39388943,129458484.3938894 
 02/26  05:00:00,131755471.26567389,131755471.26567383 
 02/26  06:00:00,146391052.06536797,146391052.06536812 
 02/26  07:00:00,158065947.6848202,157938743.49795642 
 02/26  08:00:00,172635766.61401966,170889542.0202551 
 02/26  09:00:00,171820664.85861948,167321879.1410205 
 02/26  10:00:00,165816385.5925843,158489144.50866988 
 02/26  11:00:00,160627828.80453944,150957678.7897532 
 02/26  12:00:00,161955165.08538646,150763261.62992978 
 02/26  13:00:00,159808193.22290692,148225563.6216053 
 02/26  14:00:00,154622230.60800952,143839397.28908366 
 02/26  15:00:00,153468440.82774967,144563384.2721478 
 02/26  16:00:00,160416768.4278686,154084342.58927912 
 02/26  17:00:00,189683538.98496252,186209270.2740866 
 02/26  18:00:00,238029418.52870858,237206753.82227525 
 02/26  19:00:00,255057319.64099503,255057319.6409949 
 02/26  20:00:00,241670192.12106013,241670192.1210602 
 02/26  21:00:00,235612935.70031524,235612935.70031548 
 02/26  22:00:00,222301327.70564002,222301327.70564038 
 02/26  23:00:00,193138330.86178723,193138330.8617875 
 02/26  24:00:00,167032073.75861916,167032073.7586195 
 02/27  01:00:00,145695663.98789665,145695663.98789677 
 02/27  02:00:00,140022368.13917997,140022368.13917994 
 02/27  03:00:00,137110745.1801807,137110745.18018067 
 02/27  04:00:00,135131265.49963847,135131265.49963844 
 02/27  05:00:00,137272028.48297155,137272028.4829715 
 02/27  06:00:00,150616119.97106946,150616119.97106957 
 02/27  07:00:00,159484895.0987087,159033815.7727174 
 02/27  08:00:00,172032453.29677093,167250982.79228896 
 02/27  09:00:00,174030761.67602223,164042052.8760128 
 02/27  10:00:00,166122258.97298104,144235129.82973954 
 02/27  11:00:00,160574869.94359043,139476618.94405872 
 02/27  12:00:00,161416230.5884056,123655928.15207255 
 02/27  13:00:00,156454697.76117897,115391382.24336198 
 02/27  14:00:00,145622709.6503315,109846427.32661185 
 02/27  15:00:00,148400361.3887533,131528079.2165255 
 02/27  16:00:00,158775229.40542164,147833889.99386293 
 02/27  17:00:00,189212304.6313115,183006914.6025318 
 02/27  18:00:00,243775605.6926127,242059321.6235779 
 02/27  19:00:00,260580912.04612827,260580912.04612818 
 02/27  20:00:00,244166335.10210454,244166335.10210463 
 02/27  21:00:00,235617283.32595488,235617283.3259552 
 02/27  22:00:00,220113758.8815412,220113758.88154143 
 02/27  23:00:00,187185862.91597906,187185862.91597933 
 02/27  24:00:00,160304978.84558767,160304978.84558797 
 02/28  01:00:00,137996909.82312778,137996909.8231279 
 02/28  02:00:00,131307701.00945634,131307701.0094563 
 02/28  03:00:00,127925729.7350406,127925729.73504058 
 02/28  04:00:00,125807605.13471302,125807605.134713 
 02/28  05:00:00,126678573.42784898,126678573.42784895 
 02/28  06:00:00,140045348.4429536,140045348.4429537 
 02/28  07:00:00,145618335.87966213,145525399.7971745 
 02/28  08:00:00,158071067.69791353,156613798.93236458 
 02/28  09:00:00,159730730.35138077,155912011.4925006 
 02/28  10:00:00,160725869.40581053,154532454.53310737 
 02/28  11:00:00,160005185.1850942,151783576.28770238 
 02/28  12:00:00,161793448.67991957,152214867.86323264 
 02/28  13:00:00,158724757.6747588,148800936.4447169 
 02/28  14:00:00,155765318.03312275,146477046.9220218 
 02/28  15:00:00,153024946.88130426,145344864.13107798 
 02/28  16:00:00,160708561.60409346,155260822.69087443 
 02/28  17:00:00,191669698.08470398,188684405.26074383 
 02/28  18:00:00,241429364.15652707,240719218.27134377 
 02/28  19:00:00,257546882.5241083,257546882.52410823 
 02/28  20:00:00,245051771.50082582,245051771.50082594 
 02/28  21:00:00,238677425.99739486,238677425.99739516 
 02/28  22:00:00,224705341.24417803,224705341.24417827 
 02/28  23:00:00,194711854.58941665,194711854.58941695 
 02/28  24:00:00,168982803.91012114,168982803.91012144 
 03/01  01:00:00,148520173.5407784,148520173.54077855 
 03/01  02:00:00,142695530.87548766,142695530.87548766 
 03/01  03:00:00,143249307.48906204,143249307.489062 
 03/01  04:00:00,147661498.2742892,147661498.27428916 
 03/01  05:00:00,152241479.6390719,152241479.63907188 
 03/01  06:00:00,166723753.16790414,166723753.1679043 
 03/01  07:00:00,175505880.21410766,175470528.6049997 
 03/01  08:00:00,189047659.53278667,188079827.03874522 
 03/01  09:00:00,198277775.79660603,195581323.03108937 
 03/01  10:00:00,180702643.5789022,176263605.7531057 
 03/01  11:00:00,175889291.0816261,169960828.8918768 
 03/01  12:00:00,177224514.1065522,170379506.63524753 
 03/01  13:00:00,173655251.8540122,166566776.7823828 
 03/01  14:00:00,169861966.40826836,163283144.91967607 
 03/01  15:00:00,164545070.56111053,159120556.79463667 
 03/01  16:00:00,169554619.9442683,165751204.27030557 
 03/01  17:00:00,197773325.99416044,195718963.01311666 
 03/01  18:00:00,256059505.34387678,255616161.57666805 
 03/01  19:00:00,261564676.18165755,261564676.18165743 
 03/01  20:00:00,248822762.83375543,248822762.83375555 
 03/01  21:00:00,239518316.1377995,239518316.1377998 
 03/01  22:00:00,224672024.5159613,224672024.5159616 
 03/01  23:00:00,194092317.09409118,194092317.09409145 
 03/01  24:00:00,171996653.33163834,171996653.3316386 
 03/02  01:00:00,153890340.43793273,153890340.43793285 
 03/02  02:00:00,148624558.29338393,148624558.29338402 
 03/02  03:00:00,149893900.51498115,149893900.51498112 
 03/02  04:00:00,151831418.98302096,151831418.98302093 
 03/02  05:00:00,153735832.02523744,153735832.02523738 
 03/02  06:00:00,166185618.53291798,166185618.5329181 
 03/02  07:00:00,171249331.0379561,170141020.23491555 
 03/02  08:00:00,175267709.6776218,165279016.0268731 
 03/02  09:00:00,180151914.9122178,168199717.0280162 
 03/02  10:00:00,168290928.85348922,150967915.9101261 
 03/02  11:00:00,161101124.26990587,138598105.06780025 
 03/02  12:00:00,161951008.76470712,136246539.09691858 
 03/02  13:00:00,158151627.98474342,131733842.32888186 
 03/02  14:00:00,154345309.31228742,129782062.82705161 
 03/02  15:00:00,151944296.33549792,131487632.58469832 
 03/02  16:00:00,153047425.02632546,135468001.19768867 
 03/02  17:00:00,180627094.02761248,163463767.0471722 
 03/02  18:00:00,227675096.83882302,224827724.19341955 
 03/02  19:00:00,244373537.05266032,244373537.0526603 
 03/02  20:00:00,234491389.4636311,234491389.46363115 
 03/02  21:00:00,230482243.61558908,230482243.61558938 
 03/02  22:00:00,216350871.47342196,216350871.4734223 
 03/02  23:00:00,186906571.47043103,186906571.47043133 
 03/02  24:00:00,159633423.5481143,159633423.5481146 
 03/03  01:00:00,137318946.67811638,137318946.6781165 
 03/03  02:00:00,131124299.6667586,131124299.66675857 
 03/03  03:00:00,129609002.089432,129609002.08943196 
 03/03  04:00:00,131549806.86178309,131549806.86178306 
 03/03  05:00:00,137803401.68151966,137803401.6815196 
 03/03  06:00:00,154461535.52192163,154461535.52192172 
 03/03  07:00:00,165247256.65555546,165166279.90264067 
 03/03  08:00:00,180462306.4026623,179137957.0385805 
 03/03  09:00:00,191702685.6759207,188307564.65437004 
 03/03  10:00:00,177527645.9793237,172017121.32721645 
 03/03  11:00:00,173413426.10626072,166133986.0908439 
 03/03  12:00:00,175484840.37513113,167062837.14589888 
 03/03  13:00:00,173028703.0945383,164338620.63818005 
 03/03  14:00:00,170936827.32064962,162833621.92289564 
 03/03  15:00:00,172239325.82681754,165521554.96976116 
 03/03  16:00:00,183092951.74402273,178278729.04978508 
 03/03  17:00:00,214096596.06275877,211431468.56393507 
 03/03  18:00:00,302435422.21763325,301815918.5103109 
 03/03  19:00:00,298499816.18240225,298499816.18240225 
 03/03  20:00:00,287434101.8596574,287434101.8596574 
 03/03  21:00:00,277856467.3777975,277856467.37779766 
 03/03  22:00:00,261761740.3617707,261761740.361771 
 03/03  23:00:00,239804678.88162583,239804678.88162616 
 03/03  24:00:00,218911080.15612406,218911080.1561244 
 03/04  01:00:00,204282531.2929837,204282531.29298383 
 03/04  02:00:00,201115014.79909143,201115014.7990916 
 03/04  03:00:00,199962316.4596611,199962316.45966128 
 03/04  04:00:00,200049880.4924086,200049880.4924088 
 03/04  05:00:00,202661276.67229027,202661276.67229044 
 03/04  06:00:00,214511900.99364984,214511900.99365 
 03/04  07:00:00,218200465.00931188,218078726.04620022 
 03/04  08:00:00,228221109.07869408,226580957.8380124 
 03/04  09:00:00,219646198.30653444,215638329.10381043 
 03/04  10:00:00,206046368.9512638,199608431.7260807 
 03/04  11:00:00,196437201.98941326,187985878.25014 
 03/04  12:00:00,197961789.0444625,188206579.43354493 
 03/04  13:00:00,193919244.6631301,183863529.97333914 
 03/04  14:00:00,187996557.97621748,178618168.95876357 
 03/04  15:00:00,197361630.44540197,189574497.68955287 
 03/04  16:00:00,213525789.9202267,207961313.88004544 
 03/04  17:00:00,234879159.4809505,231779216.00460032 
 03/04  18:00:00,277171502.93828994,276406358.29272753 
 03/04  19:00:00,294780720.50182986,294780720.5018298 
 03/04  20:00:00,282543061.2275747,282543061.2275747 
 03/04  21:00:00,272294011.2732238,272294011.273224 
 03/04  22:00:00,255239376.8596324,255239376.85963273 
 03/04  23:00:00,230308009.07333028,230308009.0733306 
 03/04  24:00:00,208869000.10464624,208869000.1046465 
 03/05  01:00:00,192711107.9099391,192711107.90993926 
 03/05  02:00:00,188519931.6476327,188519931.6476328 
 03/05  03:00:00,190116794.5644038,190116794.56440395 
 03/05  04:00:00,191963017.73150957,191963017.73150972 
 03/05  05:00:00,194062072.28462857,194062072.2846288 
 03/05  06:00:00,205086544.55191892,205086544.5519191 
 03/05  07:00:00,209072006.00014067,209072006.000141 
 03/05  08:00:00,220865757.7390963,220842529.41421518 
 03/05  09:00:00,230468594.9636715,230143551.93411627 
 03/05  10:00:00,231691717.04842773,231028423.9068236 
 03/05  11:00:00,226495083.69555467,225510804.13278314 
 03/05  12:00:00,230816840.71259782,229595684.00069124 
 03/05  13:00:00,228561647.75736925,227292300.95816183 
 03/05  14:00:00,223515581.82303768,222374598.0814401 
 03/05  15:00:00,224529463.8040675,223616319.69866824 
 03/05  16:00:00,233615654.99866113,233073497.47366893 
 03/05  17:00:00,252614886.02622867,252421013.71409804 
 03/05  18:00:00,288077866.40325314,288077866.40325314 
 03/05  19:00:00,303662519.06117517,303662519.0611751 
 03/05  20:00:00,290153839.06195265,290153839.0619526 
 03/05  21:00:00,274626196.9616169,274626196.96161705 
 03/05  22:00:00,254418118.66146994,254418118.6614703 
 03/05  23:00:00,228682775.71411288,228682775.71411318 
 03/05  24:00:00,206950022.48381037,206950022.48381066 
 03/06  01:00:00,190077980.1795346,190077980.17953476 
 03/06  02:00:00,186064076.73214805,186064076.7321482 
 03/06  03:00:00,181363513.30481538,181363513.30481553 
 03/06  04:00:00,178567602.41100648,178567602.41100663 
 03/06  05:00:00,179883411.26660994,179883411.2666101 
 03/06  06:00:00,190187562.2973346,190187562.2973347 
 03/06  07:00:00,193795385.59936357,193795385.59936392 
 03/06  08:00:00,205451003.13266778,205400960.1066684 
 03/06  09:00:00,217300347.14171922,216890785.62361258 
 03/06  10:00:00,188672659.3159752,187826786.2305923 
 03/06  11:00:00,184555435.58092022,183378259.52100292 
 03/06  12:00:00,186848093.9000147,185433397.83515722 
 03/06  13:00:00,184385294.25857905,182909411.62472084 
 03/06  14:00:00,181958742.53068405,180581540.62837368 
 03/06  15:00:00,181620662.6187844,180552104.93997815 
 03/06  16:00:00,190193452.4529658,189477976.96550104 
 03/06  17:00:00,219068090.6087393,218794723.4633347 
 03/06  18:00:00,319759175.015244,319753288.7340582 
 03/06  19:00:00,309397207.28993183,309397207.2899318 
 03/06  20:00:00,295783962.6747348,295783962.67473483 
 03/06  21:00:00,287181151.47567344,287181151.47567356 
 03/06  22:00:00,273106551.1648162,273106551.1648165 
 03/06  23:00:00,248237940.33232647,248237940.3323268 
 03/06  24:00:00,227466818.84426248,227466818.84426278 
 03/07  01:00:00,211855251.29799744,211855251.29799765 
 03/07  02:00:00,209207943.1314116,209207943.13141188 
 03/07  03:00:00,212742292.95256972,212742292.9525699 
 03/07  04:00:00,216497665.96761796,216497665.9676181 
 03/07  05:00:00,220288745.00421607,220288745.00421625 
 03/07  06:00:00,232961439.00203925,232961439.00203943 
 03/07  07:00:00,233538926.78954762,233215333.70734036 
 03/07  08:00:00,246040707.22473982,242938501.94858986 
 03/07  09:00:00,251673547.18343785,244540602.59557566 
 03/07  10:00:00,201295348.608792,190173665.87879074 
 03/07  11:00:00,193609389.31274077,179133982.51413167 
 03/07  12:00:00,192464320.64925465,175856288.46011624 
 03/07  13:00:00,186929876.38083747,169801685.8932215 
 03/07  14:00:00,181764086.18098283,165816503.36803365 
 03/07  15:00:00,177302167.80632657,164016265.58702877 
 03/07  16:00:00,182652193.99973658,173017110.990504 
 03/07  17:00:00,210310727.64321637,204728738.84212965 
 03/07  18:00:00,299721000.5546987,297961173.90192795 
 03/07  19:00:00,295821208.70091933,295821208.7009192 
 03/07  20:00:00,285512235.66665745,285512235.66665745 
 03/07  21:00:00,269675753.0672971,269675753.0672973 
 03/07  22:00:00,248852600.50218338,248852600.50218362 
 03/07  23:00:00,225475028.70376515,225475028.70376548 
 03/07  24:00:00,205079013.43584096,205079013.43584126 
 03/08  01:00:00,189512115.54219174,189512115.54219186 
 03/08  02:00:00,187654960.14087644,187654960.1408766 
 03/08  03:00:00,186540939.73234707,186540939.73234725 
 03/08  04:00:00,187015794.80094904,187015794.80094922 
 03/08  05:00:00,189885961.36434585,189885961.364346 
 03/08  06:00:00,201834136.9673539,201834136.96735403 
 03/08  07:00:00,200080898.53383055,198573741.61016813 
 03/08  08:00:00,197871801.630101,186557662.6495507 
 03/08  09:00:00,210012217.6344034,198797950.159189 
 03/08  10:00:00,180882526.5583636,165175089.38810587 
 03/08  11:00:00,169919358.5613076,149742563.06193668 
 03/08  12:00:00,166185325.09641483,135888114.65885875 
 03/08  13:00:00,159745390.6623324,105973206.15846443 
 03/08  14:00:00,155897322.64886045,130527775.15831284 
 03/08  15:00:00,152927715.90814683,134440649.57499874 
 03/08  16:00:00,160377454.96896744,146840526.289235 
 03/08  17:00:00,191040296.33465606,183095934.2337741 
 03/08  18:00:00,236442429.47240007,233806710.97806767 
 03/08  19:00:00,256240531.02882928,256240531.02882922 
 03/08  20:00:00,245010306.49371746,245010306.49371755 
 03/08  21:00:00,237639632.81783414,237639632.8178345 
 03/08  22:00:00,221515579.94991758,221515579.9499179 
 03/08  23:00:00,194976154.1074298,194976154.10743013 
 03/08  24:00:00,173455636.27202722,173455636.2720275 
 03/09  01:00:00,159261177.49158412,159261177.49158427 
 03/09  02:00:00,157849515.77500886,157849515.775009 
 03/09  03:00:00,159856979.7005827,159856979.70058277 
 03/09  04:00:00,162555190.9815608,162555190.98156083 
 03/09  05:00:00,167039624.1238652,167039624.12386528 
 03/09  06:00:00,180991013.5285973,180991013.52859747 
 03/09  07:00:00,181731977.11853245,181186409.4999475 
 03/09  08:00:00,187349140.00240397,180959769.82869244 
 03/09  09:00:00,186484891.84260678,171780657.46265724 
 03/09  10:00:00,169787088.9218596,151089652.903089 
 03/09  11:00:00,162145289.12772995,131788099.79979938 
 03/09  12:00:00,162599275.10459313,137850725.0458908 
 03/09  13:00:00,159082367.8892031,131688836.71364644 
 03/09  14:00:00,155416875.36402005,114927092.34476987 
 03/09  15:00:00,152257635.50414404,107992284.03841211 
 03/09  16:00:00,159679670.71373445,133918520.4497817 
 03/09  17:00:00,190387843.67753348,181303506.2871112 
 03/09  18:00:00,234736533.55885866,231922864.01418948 
 03/09  19:00:00,254537011.3301819,254537011.33018187 
 03/09  20:00:00,241758103.79236108,241758103.79236123 
 03/09  21:00:00,236079740.68720898,236079740.6872093 
 03/09  22:00:00,222925639.64565694,222925639.64565724 
 03/09  23:00:00,196030370.42422163,196030370.42422193 
 03/09  24:00:00,174171423.3477342,174171423.34773454 
 03/10  01:00:00,160298277.56883496,160298277.56883508 
 03/10  02:00:00,157469481.41111147,157469481.41111162 
 03/10  03:00:00,151031208.62655035,151031208.62655032 
 03/10  04:00:00,148216730.79506755,148216730.7950675 
 03/10  05:00:00,151543044.73450628,151543044.73450625 
 03/10  06:00:00,165224393.70715818,165224393.70715827 
 03/10  07:00:00,167660825.34258616,167140360.82535762 
 03/10  08:00:00,177484830.99138245,170426880.2903438 
 03/10  09:00:00,177387629.26899564,157549625.39128673 
 03/10  10:00:00,168800855.2269598,142929876.59209266 
 03/10  11:00:00,162352846.7175202,136253511.7422949 
 03/10  12:00:00,162934732.2103475,124781057.73587131 
 03/10  13:00:00,159154538.8183582,127960381.19319765 
 03/10  14:00:00,155458355.7183838,113025392.59829323 
 03/10  15:00:00,152230190.5727463,111926942.0554039 
 03/10  16:00:00,159441676.94347158,130612215.39352138 
 03/10  17:00:00,190042125.3721553,176296045.66990286 
 03/10  18:00:00,236268621.2250637,234084417.61952358 
 03/10  19:00:00,254451856.12378633,254451856.12378627 
 03/10  20:00:00,239874583.62398326,239874583.6239833 
 03/10  21:00:00,233968371.17288202,233968371.17288232 
 03/10  22:00:00,220618001.74744377,220618001.74744403 
 03/10  23:00:00,191673282.7358754,191673282.73587573 
 03/10  24:00:00,166801643.30706424,166801643.30706453 
 03/11  01:00:00,147407375.14733744,147407375.14733756 
 03/11  02:00:00,143402390.60884,143402390.60884002 
 03/11  03:00:00,139258790.03861198,139258790.03861195 
 03/11  04:00:00,137146234.38676047,137146234.38676044 
 03/11  05:00:00,139559673.72560173,139559673.72560167 
 03/11  06:00:00,152788536.20703638,152788536.2070365 
 03/11  07:00:00,157301623.43443188,155876280.54859507 
 03/11  08:00:00,170511565.10779747,161144469.15794405 
 03/11  09:00:00,174074002.6776484,165764629.62115145 
 03/11  10:00:00,166462944.71677637,148160572.15410173 
 03/11  11:00:00,158081450.16024908,112557444.88422921 
 03/11  12:00:00,159430011.70078143,138880597.30066675 
 03/11  13:00:00,157687428.8782375,140172082.97072 
 03/11  14:00:00,152550476.82834852,136175098.81681857 
 03/11  15:00:00,151124718.55355632,137399416.68691164 
 03/11  16:00:00,157710836.27656257,147662774.46713305 
 03/11  17:00:00,187884703.08984512,181294313.07582247 
 03/11  18:00:00,232861173.95657048,228196766.45768708 
 03/11  19:00:00,254193903.27898577,254193903.27898568 
 03/11  20:00:00,241200439.15279377,241200439.15279385 
 03/11  21:00:00,234752626.79438958,234752626.79438984 
 03/11  22:00:00,220899235.21054828,220899235.2105486 
 03/11  23:00:00,190887325.2516428,190887325.2516431 
 03/11  24:00:00,164969141.43293604,164969141.43293634 
 03/12  01:00:00,138560063.50690442,138560063.50690436 
 03/12  02:00:00,137877320.19606012,137877320.19606006 
 03/12  03:00:00,136500812.24629375,136500812.24629372 
 03/12  04:00:00,137880267.6465323,137880267.6465323 
 03/12  05:00:00,151137904.6888962,151137904.68889633 
