Date/Time,TEST_OFFICE_0:Zone Lights Electricity Energy [J](Hourly),TEST_OFFICE_0:Zone Electric Equipment Electricity Energy [J](Hourly),PARALLEL PIU ELEC RHT FAN:Fan Electricity Energy [J](Hourly),FAN VARIABLE VOLUME 1:Fan Electricity Energy [J](Hourly),PARALLEL PIU ELEC RHT COIL:Heating Coil Electricity Energy [J](Hourly),CHILLER ELECTRIC EIR 1:Chiller Electricity Energy [J](Hourly),BOILER HOT WATER 1:Boiler NaturalGas Energy [J](Hourly),PUMP VARIABLE SPEED 2:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 3:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 1:Pump Electricity Energy [J](Hourly) 
 07/17  23:00:00,488145.51293411787,1260302.960666268,0.0,110785.63290393612,0.0,212538.3228318747,0.0,4427.541007585581,632569.4671630186,0.0 
 07/17  24:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,180306.75242859774,0.0,3869.6091667318187,632539.3965533182,0.0 
 07/18  01:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,142412.33512991373,0.0,3181.054543934033,632509.2496713933,0.0 
 07/18  02:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,108324.05620524778,0.0,2518.702886832727,632491.392491766,0.0 
 07/18  03:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,89071.42673157527,0.0,2133.5184939919036,632487.7083718365,0.0 
 07/18  04:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,69471.63599651886,0.0,1698.1252955807215,632483.2066217691,0.0 
 07/18  05:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,46431.621177040084,0.0,1152.7857058502702,632471.2415898526,0.0 
 07/18  06:00:00,488145.51293411787,1260302.960666268,0.0,110785.63290393612,0.0,22887.88810749336,0.0,575.0012338746347,632455.961135142,0.0 
 07/18  07:00:00,488145.51293411787,1260302.960666268,834265.1897641836,110785.63290393612,4203714.836633106,2142.784420412454,0.0,54.115764965469566,210815.2445864024,0.0 
 07/18  08:00:00,1464436.5388023537,1260302.960666268,1035639.5459141589,110785.63290393612,579595.3630727195,17705.071087028526,0.0,449.2763782238711,527036.9070272185,0.0 
 07/18  09:00:00,4393309.616407061,2835681.661499103,172606.59098569315,110785.63290393612,0.0,57439.75931602503,0.0,1477.6947084643725,632458.4137683487,0.0 
 07/18  10:00:00,4393309.616407061,2835681.661499103,172606.59098569315,114657.62351504875,0.0,113540.86918808958,0.0,2969.682332015613,632474.2635031865,0.0 
 07/18  11:00:00,4393309.616407061,2835681.661499103,0.0,127324.57569919502,0.0,321545.98988060304,0.0,8274.514451375631,632513.6072648687,0.0 
 07/18  12:00:00,4393309.616407061,2835681.661499103,0.0,143640.12409999932,0.0,774431.7600962505,0.0,18120.202807734655,632574.4194520687,0.0 
 07/18  13:00:00,4393309.616407061,2520605.921332536,0.0,144224.586722942,0.0,1150596.9105193394,0.0,24478.131355127316,632637.7779697257,0.0 
 07/18  14:00:00,4393309.616407061,2835681.661499103,0.0,162442.22101311205,0.0,1585649.609384756,0.0,32604.48951487866,632700.2886661824,0.0 
 07/18  15:00:00,4393309.616407061,2835681.661499103,0.0,179065.21324352315,0.0,1720154.1244076,0.0,36302.41732583221,632695.2085332051,0.0 
 07/18  16:00:00,4393309.616407061,2835681.661499103,0.0,191285.11948549628,0.0,1757167.3859454794,0.0,38185.884346320774,632677.9231669962,0.0 
